date,site,id,tl_cm,sl_cm,sex,stage,g_mass_1,g_mass_2
22-Sep-17,XL,BEST.XL3.18,26.3,20.5,F,4,6.473,6.841
22-Sep-17,XL,BEST.XL3.19,31.5,24.5,F,3,4.757,4.674
29-Oct-17,XL,BEST.XL4.02,31,24,F,3,7.802,3.774
29-Oct-17,XL,BEST.XL4.08,29.5,22,F,4,7.121,5.734
29-Oct-17,XL,BEST.XL4.09,30.5,23,F,3,4.462,4.279
29-Oct-17,XL,BEST.XL4.10,29,21,F,3,5.408,4.02
29-Oct-17,XL,BEST.XL4.13,30,23,F,3,5.32,4.834
29-Oct-17,XL,BEST.XL4.14,29.5,22.5,F,2,4.077,3.912
29-Oct-17,XL,BEST.XL4.15,30.5,23,F,2,3.71,3.752
29-Oct-17,XL,BEST.XL4.19,23,19.5,F,2,4.566,4.226
29-Oct-17,XL,BEST.XL4.21,30.5,23,F,4,9.144,8.921
29-Oct-17,XL,BEST.XL4.24,28,21,F,2,2.58,2.634
29-Oct-17,XL,BEST.XL4.27,22.5,16.5,F,1,0.986,1.045
16-Nov-17,XL,BEST.XL5.01,31,24.5,F,2,3.338,2.396
16-Nov-17,XL,BEST.XL5.02,32.5,25,F,3,5.009,5.843
16-Nov-17,XL,BEST.XL5.05,31,24,F,4,4.069,3.009
16-Nov-17,XL,BEST.XL5.06,28,21,F,3,3.223,2.878
16-Nov-17,XL,BEST.XL5.07,33.5,26,F,4,4.664,4.663
16-Nov-17,XL,BEST.XL5.11,25,19.5,F,2,1.715,1.994
16-Nov-17,XL,BEST.XL5.12,29.5,22,F,0,2.001,1.997
16-Nov-17,XL,BEST.XL5.13,30,23,F,2,2.67,2.595
16-Nov-17,XL,BEST.XL5.15,29,22.5,F,2,3.784,3.705
18-Dec-17,XL,BEST.XL6.04,30.5,23,F,1,na,na
18-Dec-17,XL,BEST.XL6.07,23,17,F,1,na,na
17-Jan-19,XL,BEST2.011719.XL.4,33,25.5,F,0,na,na
19-Jan-19,NNE,BEST2.011919.NNE.11,32,24.5,F,1,na,na
19-Jan-19,NNE,BEST2.011919.NNE.2,30,22,F,3,na,na
19-Jan-19,NNE,BEST2.011919.NNE.3,25,19.5,F,0,na,na
19-Jan-19,NNE,BEST2.011919.NNE.5,31,23.5,F,0,na,na
19-Jan-19,NNE,BEST2.011919.NNE.7,32.5,25,F,0,na,na
19-Jan-19,NNE,BEST2.011919.NNE.8,33,25,F,0,na,na
19-Jan-19,NNE,BEST2.011919.NNE.9,26,20,F,0,na,na
22-May-18,XL,BEST2.XL1.01,26,19.5,F,2,na,na
22-May-18,XL,BEST2.XL1.02,31,24,F,3,na,na
22-May-18,XL,BEST2.XL1.04,31.5,24,F,1,na,na
1-Jun-18,XL,BEST2.XL2.04,32.5,24.5,F,3,na,na
1-Jun-18,XL,BEST2.XL2.08,29,22.5,F,4,na,na
1-Jun-18,XL,BEST2.XL2.11,30.5,23.5,F,4,na,na
1-Jun-18,XL,BEST2.XL2.12,32.5,24.5,F,4,na,na
1-Jun-18,XL,BEST2.XL2.13,27,20.5,F,3,na,na
1-Jun-18,XL,BEST2.XL2.14,30,23,F,5,na,na
1-Jun-18,XL,BEST2.XL2.16,35,26.5,F,4,na,na
1-Jun-18,XL,BEST2.XL2.20,31,24,F,5,na,na
1-Jun-18,XL,BEST2.XL2.22,29.5,22,F,3,na,na
23-Jan-18,NNE,BEST.NNE4.01,14,11.5,I,0,na,na
